date,act_symbol,expiration,strike,call_put,bid,ask,vol,delta,gamma,theta,vega,rho
2022-06-03,AAPL,2022-07-01,140.0,Put,3.35,3.45,0.363,-0.3331,0.025,-0.0941,0.1478,-0.0359
2022-06-03,AAPL,2022-07-01,145.0,Call,5.7,5.85,0.3452,0.5327,0.0286,-0.1004,0.1601,0.0550
2022-06-03,AAPL,2022-07-01,145.0,Put,5.2,5.35,0.3431,-0.4679,0.029,-0.0969,0.1601,-0.0493
2022-06-03,AAPL,2022-07-01,150.0,Call,3.3,3.45,0.3271,0.3849,0.029,-0.0912,0.1539,0.0403
2022-06-03,AAPL,2022-07-01,150.0,Put,7.75,8.0,0.3248,-0.6172,0.0294,-0.0875,0.1537,-0.0621
2022-06-03,AAPL,2022-07-01,155.0,Call,1.75,1.85,0.3161,0.2481,0.0249,-0.0728,0.1274,0.0263
2022-06-03,AAPL,2022-07-01,155.0,Put,11.0,11.55,0.3114,-0.7573,0.0252,-0.068,0.1254,-0.0706
2022-06-03,AAPL,2022-07-01,160.0,Call,0.86,0.89,0.3092,0.1426,0.0181,-0.0506,0.0907,0.0152
2022-06-03,AAPL,2022-07-01,160.0,Put,15.0,15.55,0.2933,-0.8738,0.018,-0.0415,0.0864,-0.0698
2022-06-03,AAPL,2022-07-01,165.0,Call,0.42,0.44,0.3118,0.0785,0.0117,-0.0331,0.059,0.0084
2022-06-03,AAPL,2022-07-01,165.0,Put,19.6,20.45,0.3203,-0.9186,0.0121,-0.0324,0.0619,-0.0659
2022-06-03,AAPL,2022-07-01,170.0,Call,0.21,0.23,0.3198,0.0432,0.0071,-0.0212,0.0369,0.0046
2022-06-03,AAPL,2022-07-01,170.0,Put,23.55,26.05,0.3273,-0.9566,0.0076,-0.0196,0.0398,-0.0544
